figure_id,aggregation_scale,aggregation_unit,curve_type,mechanism,alpha_clock,alpha_response,alpha_sum,clock_characteristic_time,response_characteristic_time,normalized_correlation,software_version
F3,0.6072021956909883,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.2504526232421074,1.0.0
F3,0.630957344480193,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.2584002184570767,1.0.0
F3,0.6556418494179785,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.26653365026831377,1.0.0
F3,0.6812920690579615,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.2748526050571577,1.0.0
F3,0.707945784384138,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.2833563918156188,1.0.0
F3,0.7356422544596414,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.29204392010831304,1.0.0
F3,0.7644222742526002,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.3009136782629733,1.0.0
F3,0.7943282347242814,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.30996371196619477,1.0.0
F3,0.8254041852680182,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.31919160345788833,1.0.0
F3,0.8576958985908937,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.32859445153471123,1.0.0
F3,0.8912509381337459,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.33816885258920926,1.0.0
F3,0.9261187281287937,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.34791088292728034,1.0.0
F3,0.9623506263980888,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.3578160826215001,1.0.0
F3,1.0,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.36787944117144233,1.0.0
F3,1.0391223038351691,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.3780953852540082,1.0.0
F3,1.0797751623277094,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.3884577688564296,1.0.0
F3,1.122018454301963,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.39895986609159884,1.0.0
F3,1.165914401179831,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.4095943669991394,1.0.0
F3,1.2115276586285888,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.4203533766356461,1.0.0
F3,1.2589254117941675,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.43122841775322707,1.0.0
F3,1.3081774742601942,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.4422104373563124,1.0.0
F3,1.3593563908785256,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.4532898174121037,1.0.0
F3,1.412537544622754,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.46445638996952343,1.0.0
F3,1.467799267622069,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.4756994569145738,1.0.0
F3,1.5252229565390183,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.48700781455627185,1.0.0
F3,1.584893192461114,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.49836978319642977,1.0.0
F3,1.6468978654828688,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.5097732417883298,1.0.0
F3,1.711328304161781,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.5212056677337433,1.0.0
F3,1.7782794100389228,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.5326541818048476,1.0.0
F3,1.8478497974222907,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.5441055981077746,1.0.0
F3,1.920141938638801,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.5555464789282512,1.0.0
F3,1.9952623149688788,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.5669631942178966,1.0.0
F3,2.073321573485954,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.5783419853932551,1.0.0
F3,2.1544346900318843,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.5896690330298868,1.0.0
F3,2.23872113856834,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.6009305279424364,1.0.0
F3,2.3263050671536263,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.6121127450504413,1.0.0
F3,2.4173154808041035,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.6232021193408614,1.0.0
F3,2.5118864315095797,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.6341853231543388,1.0.0
F3,2.610157215682536,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.645049343945574,1.0.0
