figure_id,panel,scenario,selector_resolution_ratio_sqrt_epsilon_over_dx,epsilon,lattice_spacing,alignment_offset_cells,requested_domain_halfwidth,realised_domain_halfwidth,grid_nodes,moment_ratio,effective_response_rate,aggregation_scale,mechanism,normalized_correlation,lower_envelope,upper_envelope,software_version
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,5.011872336272719,coupling,0.8018022989146794,0.7562864635626516,0.8018022989146794,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,5.207948328595465,coupling,0.8090366788416429,0.7648431879074489,0.8090366788416429,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,5.411695265464638,coupling,0.8160399126061197,0.773169626587091,0.8160399126061197,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,5.62341325190349,coupling,0.8228144251577327,0.7812636244103296,0.8228144251577327,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,5.843414133735175,coupling,0.829363271403004,0.7891239268511366,0.829363271403004,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,6.072021956909884,coupling,0.835690071241349,0.7967501492786511,0.835690071241349,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,6.30957344480193,coupling,0.8417989425376793,0.8041427378247505,0.8417989425376793,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,6.556418494179785,coupling,0.8476944333127259,0.8113029227255913,0.8476944333127259,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,6.812920690579615,coupling,0.8533814543874902,0.8182326651268552,0.8533814543874902,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,7.07945784384138,coupling,0.8588652136371452,0.824934598468851,0.8588652136371452,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,7.3564225445964135,coupling,0.864151152896055,0.8314119656620367,0.864151152896055,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,7.644222742526002,coupling,0.8692448884147148,0.8376685533221285,0.8692448884147148,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,7.943282347242813,coupling,0.8741521556079044,0.8437086243543447,0.8741521556079044,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,8.254041852680182,coupling,0.8788787586586432,0.8495368501577119,0.8788787586586432,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,8.576958985908938,coupling,0.8834305253624954,0.8551582436637049,0.8834305253624954,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,8.91250938133745,coupling,0.887813267419244,0.8605780943314827,0.887813267419244,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,9.261187281287937,coupling,0.8920327462112507,0.8658019060989774,0.8920327462112507,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,9.623506263980888,coupling,0.8960946439563474,0.8708353391408544,0.8960946439563474,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,10.0,coupling,0.9000045399929762,0.8756841561177927,0.9000045399929762,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,10.39122303835169,coupling,0.9037678918500767,0.8803541734242527,0.9037678918500767,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,10.797751623277094,coupling,0.9073900206758295,0.8848512177618324,0.9073900206758295,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,11.220184543019629,coupling,0.910876100548047,0.8891810881901613,0.910876100548047,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,11.659144011798311,coupling,0.9142311511634624,0.893349523644137,0.9142311511634624,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,12.115276586285876,coupling,0.9174600334008327,0.8973621757611796,0.9174600334008327,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,12.589254117941662,coupling,0.9205674472700534,0.9012245867397125,0.9205674472700534,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,13.081774742601928,coupling,0.9235579317922211,0.9049421718533182,0.9235579317922211,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,13.593563908785242,coupling,0.926435866399322,0.9085202061753437,0.926435866399322,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,14.125375446227554,coupling,0.9292054734926704,0.9119638150258659,0.9292054734926704,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,14.677992676220706,coupling,0.931870821852431,0.9152779676351527,0.931870821852431,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,15.252229565390198,coupling,0.9344358306432281,0.918467473522123,0.9344358306432281,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,15.848931924611142,coupling,0.9369042738103884,0.9215369811090075,0.9369042738103884,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,16.46897865482869,coupling,0.9392797847060061,0.9244909781301615,0.9392797847060061,1.0.0
