snapshot_index,operational_step,operational_time_model_units,time_seconds,grid_index,log_price_coordinate,book_1_density,book_2_density,book_1_boundary_log_price,book_2_boundary_log_price,initial_book_displacement,clock,software_version
0,0,0.0,0.0,59,-4.1,1.4609952277385931,1.4722735958442954,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,60,-4.0,1.4705730716497056,1.4799662930085544,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,61,-3.8999999999999995,1.478588995972082,1.4859905654736356,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,62,-3.8,1.4849541598575118,1.4902571031392609,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,63,-3.6999999999999993,1.4895792685591513,1.492676770492396,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,64,-3.5999999999999996,1.4923750936669284,1.4931611757739929,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,65,-3.5,1.4932530345513082,1.4916232781904535,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,66,-3.3999999999999995,1.4921257184493022,1.48797802978877,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,67,-3.3,1.4889076359452478,1.4821430479280733,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,68,-3.1999999999999993,1.4835158079121802,1.474039313601976,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,69,-3.0999999999999996,1.4758704792985593,1.4635918902074152,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,70,-3.0,1.465895834481394,1.450730656728949,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,71,-2.8999999999999995,1.4535207282725866,1.435391048725238,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,72,-2.8,1.4386794260732174,1.417514799979297,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
