experiment,schedule_id,impact_type,measurement_domain,x_coordinate,x_value,mean_signed_log_mid_impact,standard_error,active_observation_fraction,software_version
meta_order_relaxation,fast,cross,operational_gaussian,post_completion_lag_seconds,80.0,0.07340057114930933,8.938329833191744e-06,see_archive,2.1.0-r13
meta_order_relaxation,fast,cross,operational_gaussian,post_completion_lag_seconds,120.0,0.06646757085229626,5.750355861944717e-06,see_archive,2.1.0-r13
meta_order_relaxation,fast,cross,operational_gaussian,post_completion_lag_seconds,160.0,0.06080845896821685,3.984948497022798e-06,see_archive,2.1.0-r13
meta_order_relaxation,fast,cross,operational_gaussian,post_completion_lag_seconds,200.0,0.05681609151662011,3.122983111560955e-06,see_archive,2.1.0-r13
meta_order_trajectory,fast,cross,poisson_previous_refresh,cumulative_quantity,0.05,0.0,0.0,see_archive,2.1.0-r13
meta_order_trajectory,fast,cross,poisson_previous_refresh,cumulative_quantity,0.1,0.0009707276975425864,0.00042040308016585005,see_archive,2.1.0-r13
meta_order_trajectory,fast,cross,poisson_previous_refresh,cumulative_quantity,0.15000000000000002,0.005213377854910359,0.0016188575835354615,see_archive,2.1.0-r13
meta_order_trajectory,fast,cross,poisson_previous_refresh,cumulative_quantity,0.2,0.00989246552422628,0.0015770111205200253,see_archive,2.1.0-r13
meta_order_relaxation,fast,cross,poisson_previous_refresh,post_completion_lag_seconds,0.0,0.00989246552422628,0.0015770111205200253,see_archive,2.1.0-r13
meta_order_relaxation,fast,cross,poisson_previous_refresh,post_completion_lag_seconds,5.0,0.01941694929643478,0.0030907867018339107,see_archive,2.1.0-r13
meta_order_relaxation,fast,cross,poisson_previous_refresh,post_completion_lag_seconds,10.0,0.030888454506213314,0.005373153744194674,see_archive,2.1.0-r13
meta_order_relaxation,fast,cross,poisson_previous_refresh,post_completion_lag_seconds,20.0,0.045566303387721135,0.0038272621940974453,see_archive,2.1.0-r13
meta_order_relaxation,fast,cross,poisson_previous_refresh,post_completion_lag_seconds,40.0,0.07333481701351727,0.0001565555906279613,see_archive,2.1.0-r13
meta_order_relaxation,fast,cross,poisson_previous_refresh,post_completion_lag_seconds,80.0,0.07450696421107258,0.0003116853437197727,see_archive,2.1.0-r13
meta_order_relaxation,fast,cross,poisson_previous_refresh,post_completion_lag_seconds,120.0,0.06845415291563639,0.00043544150478459494,see_archive,2.1.0-r13
meta_order_relaxation,fast,cross,poisson_previous_refresh,post_completion_lag_seconds,160.0,0.06299618123854658,0.0006773844645395355,see_archive,2.1.0-r13
meta_order_relaxation,fast,cross,poisson_previous_refresh,post_completion_lag_seconds,200.0,0.05791959762826024,0.00023895440923119368,see_archive,2.1.0-r13
meta_order_trajectory,fast,cross,mittag_leffler_previous_refresh,cumulative_quantity,0.05,0.0,0.0,see_archive,2.1.0-r13
meta_order_trajectory,fast,cross,mittag_leffler_previous_refresh,cumulative_quantity,0.1,0.0010146363697814077,0.00045076276182969964,see_archive,2.1.0-r13
meta_order_trajectory,fast,cross,mittag_leffler_previous_refresh,cumulative_quantity,0.15000000000000002,0.0060463732396949955,0.0018284698784714424,see_archive,2.1.0-r13
meta_order_trajectory,fast,cross,mittag_leffler_previous_refresh,cumulative_quantity,0.2,0.013389625417830264,0.0029526004463025926,see_archive,2.1.0-r13
meta_order_relaxation,fast,cross,mittag_leffler_previous_refresh,post_completion_lag_seconds,0.0,0.013389625417830264,0.0029526004463025926,see_archive,2.1.0-r13
meta_order_relaxation,fast,cross,mittag_leffler_previous_refresh,post_completion_lag_seconds,5.0,0.0249033732608497,0.004283701993439055,see_archive,2.1.0-r13
meta_order_relaxation,fast,cross,mittag_leffler_previous_refresh,post_completion_lag_seconds,10.0,0.03178493847653278,0.0039595389008895195,see_archive,2.1.0-r13
meta_order_relaxation,fast,cross,mittag_leffler_previous_refresh,post_completion_lag_seconds,20.0,0.03658884876431244,0.004249204472241857,see_archive,2.1.0-r13
meta_order_relaxation,fast,cross,mittag_leffler_previous_refresh,post_completion_lag_seconds,40.0,0.05297650302999178,0.006126578332893976,see_archive,2.1.0-r13
meta_order_relaxation,fast,cross,mittag_leffler_previous_refresh,post_completion_lag_seconds,80.0,0.053457628747818814,0.006045540614645421,see_archive,2.1.0-r13
