event_id,path_index,book_index,same_book_event_index,operational_step,operational_time_seconds,event_type,quantity,filled_quantity,ground_truth_aggressor_sign,quote_midpoint_sign,legacy_tick_rule_sign,pre_event_mid_log_price,execution_log_price_proxy,affected_grid_indices,software_version
v183-p01-b1-e001,1,0,0,301,150.5,market_order,0.015,0.015,1,1,0,0.013685234671024022,0.15858444555473586,"[101, 102]",1.8.3
v183-p01-b1-e002,1,0,1,321,160.5,market_order,0.015,0.015,-1,-1,-1,0.04113090106454171,-0.09635876063352405,"[100, 99, 98]",1.8.3
v183-p01-b1-e003,1,0,2,341,170.5,market_order,0.015,0.015,-1,-1,-1,0.010078460904249301,-0.1394783227904784,"[100, 99, 98]",1.8.3
v183-p01-b1-e004,1,0,3,361,180.5,market_order,0.015,0.015,-1,-1,-1,-0.008750131891935409,-0.15772566724281892,"[99, 98]",1.8.3
v183-p01-b1-e005,1,0,4,381,190.5,market_order,0.015,0.015,1,1,1,-0.02873429897326707,0.11565876003846648,"[100, 101, 102]",1.8.3
v183-p01-b1-e006,1,0,5,401,200.5,market_order,0.015,0.015,-1,-1,-1,-0.0031565290873828283,-0.15608850335634247,"[99, 98]",1.8.3
v183-p01-b1-e007,1,0,6,421,210.5,market_order,0.015,0.015,1,1,1,-0.032640948899057,0.11074235353143187,"[100, 101, 102]",1.8.3
v183-p01-b1-e008,1,0,7,441,220.5,market_order,0.015,0.015,1,1,1,-0.00585649246716273,0.14642452726431732,"[100, 101, 102]",1.8.3
v183-p01-b1-e009,1,0,8,461,230.5,market_order,0.015,0.015,1,1,1,0.009952989234788785,0.15892179844251633,"[101, 102]",1.8.3
v183-p01-b1-e010,1,0,9,481,240.5,market_order,0.015,0.015,1,1,1,0.026805567509178986,0.16673324644808074,"[101, 102]",1.8.3
v183-p01-b1-e011,1,0,10,501,250.5,market_order,0.015,0.015,-1,-1,-1,0.04310140312881492,-0.09746308244840586,"[100, 99, 98]",1.8.3
v183-p01-b1-e012,1,0,11,521,260.5,market_order,0.015,0.015,1,1,1,0.007535669233607185,0.15840975132481436,"[101, 102]",1.8.3
v183-p01-b1-e013,1,0,12,541,270.5,market_order,0.015,0.015,1,1,1,0.02397570368995479,0.16559341259892663,"[101, 102]",1.8.3
v183-p01-b1-e014,1,0,13,561,280.5,market_order,0.015,0.015,1,1,1,0.03160031513208878,0.16899972382922085,"[101, 102]",1.8.3
v183-p01-b1-e015,1,0,14,581,290.5,market_order,0.015,0.015,1,1,1,0.03891851857497867,0.17233287051566623,"[101, 102]",1.8.3
v183-p01-b1-e016,1,0,15,601,300.5,market_order,0.015,0.015,1,1,1,0.04141077333319669,0.1734471091781448,"[101, 102]",1.8.3
v183-p01-b1-e017,1,0,16,621,310.5,market_order,0.015,0.015,1,1,1,0.05270863513420618,0.18889005185859173,"[101, 102, 103]",1.8.3
v183-p01-b1-e018,1,0,17,641,320.5,market_order,0.015,0.015,1,1,1,0.053677088814887364,0.19023332607402693,"[101, 102, 103]",1.8.3
v183-p01-b1-e019,1,0,18,661,330.5,market_order,0.015,0.015,1,1,1,0.0538653001002853,0.1904892773977822,"[101, 102, 103]",1.8.3
v183-p01-b1-e020,1,0,19,681,340.5,market_order,0.015,0.015,1,1,1,0.05450495562483824,0.1913802699738375,"[101, 102, 103]",1.8.3
v183-p01-b1-e021,1,0,20,701,350.5,market_order,0.015,0.015,1,1,-1,0.053263712506631575,0.18964615019471429,"[101, 102, 103]",1.8.3
v183-p01-b1-e022,1,0,21,721,360.5,market_order,0.015,0.015,1,1,-1,0.05226835994555073,0.1882459083432072,"[101, 102, 103]",1.8.3
v183-p01-b1-e023,1,0,22,741,370.5,market_order,0.015,0.015,1,1,-1,0.04207530875070988,0.17387081793292447,"[101, 102, 103]",1.8.3
v183-p01-b1-e024,1,0,23,761,380.5,market_order,0.015,0.015,1,1,1,0.04276881460101792,0.1747725025499887,"[101, 102, 103]",1.8.3
v183-p01-b1-e025,1,0,24,781,390.5,market_order,0.015,0.015,1,1,-1,0.037647609155980644,0.17168315539880596,"[101, 102]",1.8.3
v183-p01-b1-e026,1,0,25,801,400.5,market_order,0.015,0.015,-1,-1,-1,0.03283069766476281,-0.11160331385050262,"[100, 99, 98]",1.8.3
v183-p01-b1-e027,1,0,26,821,410.5,market_order,0.015,0.015,1,1,1,-0.015731107329236493,0.13389935774109848,"[100, 101, 102]",1.8.3
v183-p01-b1-e028,1,0,27,841,420.5,market_order,0.015,0.015,-1,-1,-1,0.004186797271565575,-0.15012995509653573,"[100, 99, 98]",1.8.3
v183-p01-b1-e029,1,0,28,861,430.5,market_order,0.015,0.015,-1,-1,-1,-0.029547494036155822,-0.16854618150055575,"[99, 98]",1.8.3
v183-p01-b1-e030,1,0,29,881,440.5,market_order,0.015,0.015,1,1,1,-0.04722813439532625,0.09259867865310455,"[100, 101, 102]",1.8.3
v183-p01-b1-e031,1,0,30,901,450.5,market_order,0.015,0.015,1,1,1,-0.021987020674152993,0.12526496164581918,"[100, 101, 102]",1.8.3
v183-p01-b1-e032,1,0,31,921,460.5,market_order,0.015,0.015,1,1,1,-0.006875725649770209,0.1453741279381175,"[100, 101, 102]",1.8.3
v183-p01-b1-e033,1,0,32,941,470.5,market_order,0.015,0.015,1,1,1,0.005350836322766097,0.15703660191114568,"[101, 102]",1.8.3
v183-p01-b1-e034,1,0,33,961,480.5,market_order,0.015,0.015,-1,-1,-1,0.016193397863840747,-0.13434014147082782,"[100, 99, 98]",1.8.3
v183-p01-b1-e035,1,0,34,981,490.5,market_order,0.015,0.015,-1,-1,-1,-0.01938299618568913,-0.16408046170830487,"[99, 98]",1.8.3
v183-p01-b1-e036,1,0,35,1001,500.5,market_order,0.015,0.015,1,1,1,-0.044243774799249916,0.09682912315896283,"[100, 101, 102]",1.8.3
v183-p01-b1-e037,1,0,36,1021,510.5,market_order,0.015,0.015,-1,-1,-1,-0.015169555978604851,-0.1623736272073804,"[99, 98]",1.8.3
v183-p01-b1-e038,1,0,37,1041,520.5,market_order,0.015,0.015,1,1,1,-0.04400406115415765,0.09698458482512261,"[100, 101, 102]",1.8.3
v183-p01-b1-e039,1,0,38,1061,530.5,market_order,0.015,0.015,-1,-1,-1,-0.017010588903948187,-0.16317372062180935,"[99, 98]",1.8.3
v183-p01-b1-e040,1,0,39,1081,540.5,market_order,0.015,0.015,-1,-1,-1,-0.04057608166836897,-0.17507703380712844,"[99, 98, 97]",1.8.3
v183-p01-b1-e041,1,0,40,1101,550.5,market_order,0.015,0.015,1,1,1,-0.057373690743314165,0.07950234228413534,"[100, 101, 102]",1.8.3
v183-p01-b1-e042,1,0,41,1121,560.5,market_order,0.015,0.015,-1,-1,-1,-0.02226191768195805,-0.16540056260104527,"[99, 98]",1.8.3
v183-p01-b1-e043,1,0,42,1141,570.5,market_order,0.015,0.015,-1,-1,-1,-0.05023357217269948,-0.18785353744147315,"[99, 98, 97]",1.8.3
v183-p01-b1-e044,1,0,43,1161,580.5,market_order,0.015,0.015,-1,-1,-1,-0.06802217918056898,-0.21152741697263994,"[99, 98, 97]",1.8.3
v183-p01-b1-e045,1,0,44,1181,590.5,market_order,0.015,0.015,1,1,1,-0.07719436170460113,0.06577702236081596,"[100, 101]",1.8.3
v183-p01-b1-e046,1,0,45,1201,600.5,market_order,0.015,0.015,1,1,1,-0.04133079006851264,0.09977521546754006,"[100, 101, 102]",1.8.3
v183-p01-b1-e047,1,0,46,1221,610.5,market_order,0.015,0.015,1,1,1,-0.01938485904606814,0.12886117183801782,"[100, 101, 102]",1.8.3
v183-p01-b1-e048,1,0,47,1241,620.5,market_order,0.015,0.015,1,1,1,-0.013156318329335212,0.13713567597364792,"[100, 101, 102]",1.8.3
v183-p01-b2-e001,1,1,0,311,155.5,market_order,0.015,0.015,1,1,0,0.007373490649910235,0.15555901893800078,"[101, 102]",1.8.3
v183-p01-b2-e002,1,1,1,331,165.5,market_order,0.015,0.015,-1,-1,-1,0.031458227066118366,-0.10982388735599204,"[100, 99, 98]",1.8.3
v183-p01-b2-e003,1,1,2,351,175.5,market_order,0.015,0.015,-1,-1,-1,0.0040510086034767565,-0.1478957500583045,"[100, 99, 98]",1.8.3
v183-p01-b2-e004,1,1,3,371,185.5,market_order,0.015,0.015,-1,-1,-1,-0.02004879589131099,-0.16310825605011736,"[99, 98]",1.8.3
v183-p01-b2-e005,1,1,4,391,195.5,market_order,0.015,0.015,-1,-1,-1,-0.03635961298766528,-0.17080542960826037,"[99, 98]",1.8.3
v183-p01-b2-e006,1,1,5,411,205.5,market_order,0.015,0.015,-1,-1,-1,-0.051166842016093325,-0.18584085732780892,"[99, 98, 97]",1.8.3
v183-p01-b2-e007,1,1,6,431,215.5,market_order,0.015,0.015,-1,-1,-1,-0.053516812278798044,-0.18914228194946367,"[99, 98, 97]",1.8.3
v183-p01-b2-e008,1,1,7,451,225.5,market_order,0.015,0.015,1,1,1,-0.050178937480046516,0.08736436812354004,"[100, 101, 102]",1.8.3
v183-p01-b2-e009,1,1,8,471,235.5,market_order,0.015,0.015,1,1,1,-0.010441201395164551,0.14035230533384502,"[100, 101, 102]",1.8.3
v183-p01-b2-e010,1,1,9,491,245.5,market_order,0.015,0.015,1,1,1,0.014732040179279397,0.161263122751919,"[101, 102]",1.8.3
v183-p01-b2-e011,1,1,10,511,255.5,market_order,0.015,0.015,-1,-1,-1,0.031012593296114103,-0.11350495649223079,"[100, 99, 98]",1.8.3
v183-p01-b2-e012,1,1,11,531,265.5,market_order,0.015,0.015,-1,-1,-1,-0.0024300227123080637,-0.15575530782723404,"[99, 98]",1.8.3
v183-p01-b2-e013,1,1,12,551,275.5,market_order,0.015,0.015,-1,-1,-1,-0.01581828225208108,-0.16182360783016322,"[99, 98]",1.8.3
v183-p01-b2-e014,1,1,13,571,285.5,market_order,0.015,0.015,1,1,1,-0.021783561303438226,0.12621385608278032,"[100, 101, 102]",1.8.3
v183-p01-b2-e015,1,1,14,591,295.5,market_order,0.015,0.015,1,1,1,0.00616050118261292,0.15771935128254946,"[101, 102]",1.8.3
v183-p01-b2-e016,1,1,15,611,305.5,market_order,0.015,0.015,1,1,1,0.03423428522227096,0.17042517100449986,"[101, 102]",1.8.3
v183-p01-b2-e017,1,1,16,631,315.5,market_order,0.015,0.015,-1,-1,-1,0.052747028828813776,-0.08504740377947789,"[100, 99, 98]",1.8.3
