figure_id,aggregation_scale,aggregation_unit,curve_type,mechanism,normalized_correlation,absolute_correlation,uncertainty,uncertainty_type,parameter_profile,software_version,scenario,clock_rate,response_rate,alpha_clock,alpha_response
F1,0.8254041852680182,clock characteristic time,analytic,coupling,0.7082712832864988,0.7082712832864988,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,0.8576958985908937,clock characteristic time,analytic,coupling,0.7179541055575331,0.7179541055575331,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,0.8912509381337459,clock characteristic time,analytic,coupling,0.7274327916176557,0.7274327916176557,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,0.9261187281287937,clock characteristic time,analytic,coupling,0.7367003731948849,0.7367003731948849,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,0.9623506263980888,clock characteristic time,analytic,coupling,0.7457507902026177,0.7457507902026177,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,1.0,clock characteristic time,analytic,coupling,0.7545789097221836,0.7545789097221836,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,1.0391223038351691,clock characteristic time,analytic,coupling,0.7631805353005268,0.7631805353005268,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,1.0797751623277094,clock characteristic time,analytic,coupling,0.7715524064077396,0.7715524064077396,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,1.122018454301963,clock characteristic time,analytic,coupling,0.7796921880919855,0.7796921880919855,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,1.165914401179831,clock characteristic time,analytic,coupling,0.7875984510678752,0.7875984510678752,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,1.2115276586285888,clock characteristic time,analytic,coupling,0.7952706426725361,0.7952706426725361,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,1.2589254117941675,clock characteristic time,analytic,coupling,0.802709049314979,0.802709049314979,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,1.3081774742601942,clock characteristic time,analytic,coupling,0.8099147512222977,0.8099147512222977,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,1.3593563908785256,clock characteristic time,analytic,coupling,0.8168895704442647,0.8168895704442647,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,1.412537544622754,clock characteristic time,analytic,coupling,0.8236360132100213,0.8236360132100213,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,1.467799267622069,clock characteristic time,analytic,coupling,0.8301572078316111,0.8301572078316111,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,1.5252229565390183,clock characteristic time,analytic,coupling,0.8364568394149701,0.8364568394149701,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,1.584893192461114,clock characteristic time,analytic,coupling,0.8425390826670012,0.8425390826670012,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,1.6468978654828688,clock characteristic time,analytic,coupling,0.8484085340763707,0.8484085340763707,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,1.711328304161781,clock characteristic time,analytic,coupling,0.8540701446963294,0.8540701446963294,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,1.7782794100389228,clock characteristic time,analytic,coupling,0.8595291546724935,0.8595291546724935,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,1.8478497974222907,clock characteristic time,analytic,coupling,0.8647910305412005,0.8647910305412005,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,1.920141938638801,clock characteristic time,analytic,coupling,0.8698614061802501,0.8698614061802501,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,1.9952623149688788,clock characteristic time,analytic,coupling,0.8747460281302858,0.8747460281302858,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,2.073321573485954,clock characteristic time,analytic,coupling,0.8794507058292834,0.8794507058292834,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,2.1544346900318843,clock characteristic time,analytic,coupling,0.8839812671224596,0.8839812671224596,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,2.23872113856834,clock characteristic time,analytic,coupling,0.8883435192332176,0.8883435192332176,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,2.3263050671536263,clock characteristic time,analytic,coupling,0.892543215214732,0.892543215214732,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,2.4173154808041035,clock characteristic time,analytic,coupling,0.8965860257526878,0.8965860257526878,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,2.5118864315095797,clock characteristic time,analytic,coupling,0.9004775160624836,0.9004775160624836,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,2.610157215682536,clock characteristic time,analytic,coupling,0.9042231275222341,0.9042231275222341,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,2.712272579332027,clock characteristic time,analytic,coupling,0.9078281636078852,0.9078281636078852,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,2.818382931264452,clock characteristic time,analytic,coupling,0.9112977796487187,0.9112977796487187,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,2.9286445646252375,clock characteristic time,analytic,coupling,0.9146369758990209,0.9146369758990209,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,3.043219887107722,clock characteristic time,analytic,coupling,0.9178505934219787,0.9178505934219787,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,3.1622776601683795,clock characteristic time,analytic,coupling,0.9209433123013065,0.9209433123013065,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,3.285993247600654,clock characteristic time,analytic,coupling,0.9239196517304342,0.9239196517304342,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,3.4145488738336005,clock characteristic time,analytic,coupling,0.9267839715738948,0.9267839715738948,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,3.5481338923357533,clock characteristic time,analytic,coupling,0.9295404750465337,0.9295404750465337,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,3.6869450645195734,clock characteristic time,analytic,coupling,0.932193212209476,0.932193212209476,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,3.831186849557289,clock characteristic time,analytic,coupling,0.9347460840341862,0.9347460840341862,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,3.981071705534973,clock characteristic time,analytic,coupling,0.9372028468349831,0.9372028468349831,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,4.136820402388507,clock characteristic time,analytic,coupling,0.9395671169143132,0.9395671169143132,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,4.298662347082277,clock characteristic time,analytic,coupling,0.9418423753029844,0.9418423753029844,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,4.46683592150963,clock characteristic time,analytic,coupling,0.9440319725091016,0.9440319725091016,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,4.6415888336127775,clock characteristic time,analytic,coupling,0.9461391332147973,0.9461391332147973,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,4.823178482239304,clock characteristic time,analytic,coupling,0.9481669608795653,0.9481669608795653,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,5.011872336272719,clock characteristic time,analytic,coupling,0.9501184422238231,0.9501184422238231,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,5.207948328595465,clock characteristic time,analytic,coupling,0.9519964515770966,0.9519964515770966,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,5.411695265464638,clock characteristic time,analytic,coupling,0.9538037550827883,0.9538037550827883,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,5.62341325190349,clock characteristic time,analytic,coupling,0.9555430147565965,0.9555430147565965,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,5.843414133735175,clock characteristic time,analytic,coupling,0.957216792398977,0.957216792398977,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,6.072021956909884,clock characteristic time,analytic,coupling,0.9588275533640935,0.9588275533640935,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,6.30957344480193,clock characteristic time,analytic,coupling,0.9603776701889057,0.9603776701889057,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,6.556418494179785,clock characteristic time,analytic,coupling,0.9618694260866799,0.9618694260866799,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,6.812920690579615,clock characteristic time,analytic,coupling,0.9633050183095019,0.9633050183095019,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,7.07945784384138,clock characteristic time,analytic,coupling,0.9646865613844489,0.9646865613844489,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,7.3564225445964135,clock characteristic time,analytic,coupling,0.9660160902280425,0.9660160902280425,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,7.644222742526002,clock characteristic time,analytic,coupling,0.9672955631434969,0.9672955631434969,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,7.943282347242813,clock characteristic time,analytic,coupling,0.9685268647051463,0.9685268647051463,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,8.254041852680182,clock characteristic time,analytic,coupling,0.9697118085342854,0.9697118085342854,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,8.576958985908938,clock characteristic time,analytic,coupling,0.9708521399705042,0.9708521399705042,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,8.91250938133745,clock characteristic time,analytic,coupling,0.9719495386424509,0.9719495386424509,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,9.261187281287937,clock characteristic time,analytic,coupling,0.9730056209418073,0.9730056209418073,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,9.623506263980888,clock characteristic time,analytic,coupling,0.9740219424041208,0.9740219424041208,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,10.0,clock characteristic time,analytic,coupling,0.975,0.975,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,10.39122303835169,clock characteristic time,analytic,coupling,0.9759412343400478,0.9759412343400478,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,10.797751623277094,clock characteristic time,analytic,coupling,0.9768470317967801,0.9768470317967801,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,11.220184543019629,clock characteristic time,analytic,coupling,0.9777187265466564,0.9777187265466564,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,11.659144011798311,clock characteristic time,analytic,coupling,0.9785576025352276,0.9785576025352276,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,12.115276586285876,clock characteristic time,analytic,coupling,0.9793648953682995,0.9793648953682995,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,12.589254117941662,clock characteristic time,analytic,coupling,0.980141794131893,0.980141794131893,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,13.081774742601928,clock characteristic time,analytic,coupling,0.980889443143685,0.980889443143685,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,13.593563908785242,clock characteristic time,analytic,coupling,0.9816089436385089,0.9816089436385089,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,14.125375446227554,clock characteristic time,analytic,coupling,0.9823013553903965,0.9823013553903965,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,14.677992676220706,clock characteristic time,analytic,coupling,0.982967698273551,0.982967698273551,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,15.252229565390198,clock characteristic time,analytic,coupling,0.9836089537645505,0.9836089537645505,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,15.848931924611142,clock characteristic time,analytic,coupling,0.9842260663879951,0.9842260663879951,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,16.46897865482869,clock characteristic time,analytic,coupling,0.9848199451077253,0.9848199451077253,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,17.11328304161781,clock characteristic time,analytic,coupling,0.9853914646656621,0.9853914646656621,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
F1,17.78279410038923,clock characteristic time,analytic,coupling,0.9859414668702413,0.9859414668702413,,not_applicable_deterministic,lambda=1;kappa=4;rho_inf=1,1.0.0,response_to_clock_rate_4,1.0,4.0,1.0,1.0
