figure_id,aggregation_scale,aggregation_unit,scenario,mechanism,sensitivity_parameter,local_elasticity,clock_rate,response_rate,software_version
F2,0.24173154808041036,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.922615848917463,1.0,0.25,1.0.0
F2,0.25118864315095796,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9197159156822061,1.0,0.25,1.0.0
F2,0.2610157215682536,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9167125094101808,1.0,0.25,1.0.0
F2,0.2712272579332027,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9136023541025466,1.0,0.25,1.0.0
F2,0.2818382931264455,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9103821042072284,1.0,0.25,1.0.0
F2,0.29286445646252374,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9070483462011214,1.0,0.25,1.0.0
F2,0.3043219887107722,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9035976005307887,1.0,0.25,1.0.0
F2,0.31622776601683794,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9000263239435833,1.0,0.25,1.0.0
F2,0.3285993247600654,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.896330912243059,1.0,0.25,1.0.0
F2,0.34145488738336005,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.8925077035043768,1.0,0.25,1.0.0
F2,0.3548133892335753,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.8885529817875778,1.0,0.25,1.0.0
F2,0.36869450645195734,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.8844629813885272,1.0,0.25,1.0.0
F2,0.38311868495572887,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.88023389166948,1.0,0.25,1.0.0
F2,0.3981071705534973,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.8758618625131002,1.0,0.25,1.0.0
F2,0.4136820402388507,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.871343010445874,1.0,0.25,1.0.0
F2,0.42986623470822766,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.8666734254786649,1.0,0.25,1.0.0
F2,0.44668359215096304,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.8618491787140112,1.0,0.25,1.0.0
F2,0.46415888336127775,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.8568663307713869,1.0,0.25,1.0.0
F2,0.4823178482239304,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.851720941083114,1.0,0.25,1.0.0
F2,0.5011872336272725,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.846409078114871,1.0,0.25,1.0.0
F2,0.5207948328595465,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.8409268305656208,1.0,0.25,1.0.0
F2,0.5411695265464638,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.8352703196023502,1.0,0.25,1.0.0
F2,0.5623413251903491,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.8294357121851522,1.0,0.25,1.0.0
F2,0.5843414133735175,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.8234192355377561,1.0,0.25,1.0.0
F2,0.6072021956909883,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.8172171928175453,1.0,0.25,1.0.0
F2,0.630957344480193,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.8108259800373997,1.0,0.25,1.0.0
F2,0.6556418494179785,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.8042421042890217,1.0,0.25,1.0.0
F2,0.6812920690579615,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.7974622033138844,1.0,0.25,1.0.0
F2,0.707945784384138,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.7904830664631763,1.0,0.25,1.0.0
F2,0.7356422544596414,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.7833016570821807,1.0,0.25,1.0.0
F2,0.7644222742526002,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.775915136347124,1.0,0.25,1.0.0
F2,0.7943282347242814,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.768320888573456,1.0,0.25,1.0.0
F2,0.8254041852680182,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.7605165480037631,1.0,0.25,1.0.0
F2,0.8576958985908937,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.7525000270706523,1.0,0.25,1.0.0
F2,0.8912509381337459,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.744269546114972,1.0,0.25,1.0.0
F2,0.9261187281287937,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.7358236645222843,1.0,0.25,1.0.0
F2,0.9623506263980888,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.7271613132205363,1.0,0.25,1.0.0
F2,1.0,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.7182818284590451,1.0,0.25,1.0.0
F2,1.0391223038351691,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.7091849867631445,1.0,0.25,1.0.0
F2,1.0797751623277094,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.699871040929933,1.0,0.25,1.0.0
F2,1.122018454301963,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.6903407568983789,1.0,0.25,1.0.0
F2,1.165914401179831,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.6805954512915552,1.0,0.25,1.0.0
F2,1.2115276586285888,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.6706370293898846,1.0,0.25,1.0.0
F2,1.2589254117941675,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.6604680232521161,1.0,0.25,1.0.0
F2,1.3081774742601942,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.6500916296554294,1.0,0.25,1.0.0
F2,1.3593563908785256,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.6395117474778246,1.0,0.25,1.0.0
F2,1.412537544622754,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.6287330140952377,1.0,0.25,1.0.0
F2,1.467799267622069,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.6177608403131748,1.0,0.25,1.0.0
F2,1.5252229565390183,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.6066014432987893,1.0,0.25,1.0.0
F2,1.584893192461114,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.5952618769252598,1.0,0.25,1.0.0
F2,1.6468978654828688,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.5837500588871991,1.0,0.25,1.0.0
F2,1.711328304161781,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.5720747938951054,1.0,0.25,1.0.0
F2,1.7782794100389228,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.5602457922102999,1.0,0.25,1.0.0
F2,1.8478497974222907,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.5482736827413427,1.0,0.25,1.0.0
F2,1.920141938638801,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.5361700198909324,1.0,0.25,1.0.0
F2,1.9952623149688788,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.5239472833212968,1.0,0.25,1.0.0
F2,2.073321573485954,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.5116188697989265,1.0,0.25,1.0.0
F2,2.1544346900318843,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.499199076289178,1.0,0.25,1.0.0
F2,2.23872113856834,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.4867030735009607,1.0,0.25,1.0.0
F2,2.3263050671536263,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.4741468691345595,1.0,0.25,1.0.0
F2,2.4173154808041035,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.4615472601647681,1.0,0.25,1.0.0
F2,2.5118864315095797,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.44892177359969065,1.0,0.25,1.0.0
F2,2.610157215682536,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.43628859529524827,1.0,0.25,1.0.0
F2,2.712272579332027,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.42366648657827605,1.0,0.25,1.0.0
F2,2.818382931264452,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.41107468863794133,1.0,0.25,1.0.0
