measurement_domain,observable,lag_index,lag_seconds,mean_autocorrelation,standard_error_across_paths,normal_95_lower,normal_95_upper,effective_pairs_per_book_member,software_version
previous_refresh_calendar,absolute_log_mid_increment,17,85.0,0.009926644388458314,0.006506872811896199,-0.002826826322858236,0.022680115099774863,512,2.1.0
previous_refresh_calendar,absolute_log_mid_increment,18,90.0,-0.004883784458389321,0.004490031446143406,-0.013684246092830397,0.003916677176051756,511,2.1.0
previous_refresh_calendar,absolute_log_mid_increment,19,95.0,0.002218001355493987,0.0069966574986546955,-0.011495447341869216,0.01593145005285719,510,2.1.0
previous_refresh_calendar,absolute_log_mid_increment,20,100.0,0.00553653755762282,0.0063110886192754775,-0.006833196136157116,0.017906271251402754,509,2.1.0
previous_refresh_calendar,absolute_log_mid_increment,21,105.0,-0.006801461233200916,0.009414853851336846,-0.02525457478182113,0.0116516523154193,508,2.1.0
previous_refresh_calendar,absolute_log_mid_increment,22,110.0,-0.00015166351847222892,0.009670140016302531,-0.01910513795042519,0.01880181091348073,507,2.1.0
previous_refresh_calendar,absolute_log_mid_increment,23,115.0,-0.0011052545727996887,0.005829663745912771,-0.01253139551478872,0.010320886369189344,506,2.1.0
previous_refresh_calendar,absolute_log_mid_increment,24,120.0,-0.013538658040730421,0.005992614453221168,-0.02528418236904391,-0.0017931337124169316,505,2.1.0
previous_refresh_calendar,absolute_log_mid_increment,25,125.0,0.021534880322339793,0.0067559078352469265,0.008293300965255818,0.03477645967942377,504,2.1.0
previous_refresh_calendar,absolute_log_mid_increment,26,130.0,-0.01560187883962926,0.008502647067623704,-0.03226706709217172,0.0010633094129132003,503,2.1.0
previous_refresh_calendar,absolute_log_mid_increment,27,135.0,-0.01153547060543886,0.00413354572530468,-0.019637220227036033,-0.003433720983841688,502,2.1.0
previous_refresh_calendar,absolute_log_mid_increment,28,140.0,0.011545676806627976,0.007609704247231702,-0.0033693435179461603,0.02646069713120211,501,2.1.0
