measurement_domain,bin_index,standardized_return_lower,standardized_return_upper,standardized_return_centre,estimated_density,fixed_standard_normal_density,sample_count,unstandardized_sample_mean,unstandardized_sample_standard_deviation,reference_status,software_version
calendar_previous_refresh,14,-1.9024390243902438,-1.6097560975609762,-1.75609756097561,0.0509365443425076,0.08535998437500054,1744,1.4815290618140872e-06,0.023977160352353304,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,15,-1.6097560975609762,-1.3170731707317076,-1.4634146341463419,0.06856842507645254,0.13673237525859186,1744,1.4815290618140872e-06,0.023977160352353304,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,16,-1.3170731707317076,-1.024390243902439,-1.1707317073170733,0.08620030581039748,0.20104130420767566,1744,1.4815290618140872e-06,0.023977160352353304,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,17,-1.024390243902439,-0.7317073170731714,-0.8780487804878052,0.10383218654434241,0.27132894807536007,1744,1.4815290618140872e-06,0.023977160352353304,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,18,-0.7317073170731714,-0.43902439024390283,-0.5853658536585371,0.06660932721712533,0.33612736628589057,1744,1.4815290618140872e-06,0.023977160352353304,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,19,-0.43902439024390283,-0.14634146341463428,-0.29268292682926855,0.11950496941896013,0.3822156958019895,1744,1.4815290618140872e-06,0.023977160352353304,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,20,-0.14634146341463428,0.1463414634146334,-4.440892098500626e-16,2.139334862385319,0.3989422804014327,1744,1.4815290618140872e-06,0.023977160352353304,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,21,0.1463414634146334,0.43902439024390194,0.29268292682926766,0.09991399082568798,0.3822156958019896,1744,1.4815290618140872e-06,0.023977160352353304,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,22,0.43902439024390194,0.7317073170731705,0.5853658536585362,0.10775038226299685,0.33612736628589074,1744,1.4815290618140872e-06,0.023977160352353304,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,23,0.7317073170731705,1.0243902439024382,0.8780487804878043,0.06660932721712533,0.27132894807536023,1744,1.4815290618140872e-06,0.023977160352353304,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,24,1.0243902439024382,1.3170731707317067,1.1707317073170724,0.08228211009174305,0.20104130420767588,1744,1.4815290618140872e-06,0.023977160352353304,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,25,1.3170731707317067,1.6097560975609753,1.463414634146341,0.06856842507645254,0.13673237525859205,1744,1.4815290618140872e-06,0.023977160352353304,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,26,1.6097560975609753,1.9024390243902438,1.7560975609756095,0.04310015290519874,0.0853599843750006,1744,1.4815290618140872e-06,0.023977160352353304,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,27,1.9024390243902438,2.1951219512195124,2.048780487804878,0.03722285932721709,0.04891411485503702,1744,1.4815290618140872e-06,0.023977160352353304,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,28,2.1951219512195124,2.487804878048779,2.3414634146341458,0.03722285932721709,0.025728293088505636,1744,1.4815290618140872e-06,0.023977160352353304,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,29,2.487804878048779,2.7804878048780477,2.6341463414634134,0.04701834862385317,0.01242180345468116,1744,1.4815290618140872e-06,0.023977160352353304,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,30,2.7804878048780477,3.0731707317073162,2.926829268292682,0.011754587155963293,0.005504973536072442,1744,1.4815290618140872e-06,0.023977160352353304,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,31,3.0731707317073162,3.365853658536585,3.2195121951219505,0.009795489296636078,0.0022393538367318313,1744,1.4815290618140872e-06,0.023977160352353304,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,32,3.365853658536585,3.6585365853658534,3.512195121951219,0.001959097859327215,0.000836155614434566,1744,1.4815290618140872e-06,0.023977160352353304,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,33,3.6585365853658534,3.951219512195122,3.8048780487804876,0.00783639143730886,0.00028658166572969457,1744,1.4815290618140872e-06,0.023977160352353304,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,34,3.951219512195122,4.2439024390243905,4.097560975609756,0.00391819571865443,9.015848357637832e-05,1744,1.4815290618140872e-06,0.023977160352353304,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,35,4.2439024390243905,4.536585365853657,4.390243902439024,0.0,2.6035246726877173e-05,1744,1.4815290618140872e-06,0.023977160352353304,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,36,4.536585365853657,4.829268292682926,4.6829268292682915,0.001959097859327215,6.90102658257035e-06,1744,1.4815290618140872e-06,0.023977160352353304,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,37,4.829268292682926,5.121951219512194,4.97560975609756,0.0,1.6790460458255499e-06,1744,1.4815290618140872e-06,0.023977160352353304,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,38,5.121951219512194,5.414634146341463,5.268292682926829,0.001959097859327215,3.749802684995578e-07,1744,1.4815290618140872e-06,0.023977160352353304,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,39,5.414634146341463,5.7073170731707314,5.560975609756097,0.001959097859327215,7.686898180437272e-08,1744,1.4815290618140872e-06,0.023977160352353304,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,40,5.7073170731707314,6.0,5.853658536585366,0.0,1.4464077651965064e-08,1744,1.4815290618140872e-06,0.023977160352353304,fixed_standard_normal_not_fitted,1.8.3
