target_id,measurement_domain,event_book,response_book,impact_type,lag_seconds,mean_signed_log_mid_impact,standard_error,normal_95_lower,normal_95_upper,mean_impact_per_unit_quantity,active_observation_fraction,paths,sides_per_path,event_quantity,software_version
S8-IMPACT-01,calendar,0,1,cross,2.0,0.0006443423947384525,0.0003144426071809665,2.8034884663758288e-05,0.0012606499048131467,0.01288684789476905,0.375,8,2,0.05,1.8.1
S8-IMPACT-01,calendar,0,1,cross,5.0,0.0022919764654361573,0.000976798831190942,0.00037745075630191073,0.004206502174570404,0.04583952930872314,0.5,8,2,0.05,1.8.1
S8-IMPACT-01,calendar,0,1,cross,10.0,0.0056142399359684824,0.0012256611382682066,0.0032119441049627976,0.008016535766974166,0.11228479871936964,0.875,8,2,0.05,1.8.1
S8-IMPACT-01,calendar,0,1,cross,20.0,0.011111819904529713,0.001487752669373091,0.008195824672558454,0.014027815136500973,0.22223639809059426,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,calendar,0,1,cross,40.0,0.018087429849082286,0.00032734585348939346,0.017445831976243074,0.018729027721921497,0.3617485969816457,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,calendar,0,1,cross,80.0,0.019176364324548768,6.746349339463308e-05,0.01904413587749529,0.019308592771602247,0.38352728649097534,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,calendar,0,1,cross,120.0,0.01753468514014628,0.00010259053863036265,0.01733360768443077,0.017735762595861793,0.3506937028029256,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,calendar,0,1,cross,160.0,0.016136749252891255,0.0002095207584399676,0.01572608856634892,0.016547409939433592,0.3227349850578251,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,calendar,0,1,cross,200.0,0.014928430599179716,0.0001271027108214999,0.014679309285969576,0.015177551912389856,0.2985686119835943,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,operational,1,0,cross,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,operational,1,0,cross,0.5,0.0009189646067374524,2.961227644100879e-06,0.0009131606005550147,0.00092476861291989,0.018379292134749047,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,operational,1,0,cross,1.0,0.0017164482872633036,8.183042087804607e-06,0.0017004095247712067,0.0017324870497554005,0.03432896574526607,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,operational,1,0,cross,2.0,0.0031462181299602996,1.43647706232514e-05,0.0031180631795387267,0.0031743730803818725,0.06292436259920599,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,operational,1,0,cross,5.0,0.006550213984347843,1.7452559932175392e-05,0.006516006966880779,0.006584421001814907,0.13100427968695685,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,operational,1,0,cross,10.0,0.010500887502466905,2.170787633610089e-05,0.010458340064848148,0.010543434940085663,0.2100177500493381,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,operational,1,0,cross,20.0,0.015196769313715094,2.3272127154494633e-05,0.015151155944492284,0.015242382682937905,0.3039353862743019,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,operational,1,0,cross,40.0,0.018887093657735086,1.9093320712660417e-05,0.01884967074913827,0.0189245165663319,0.3777418731547017,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,operational,1,0,cross,80.0,0.018962281393682626,1.0801110372576762e-05,0.018941111217352376,0.018983451570012876,0.3792456278736525,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,operational,1,0,cross,120.0,0.017193215989197708,6.426793537468437e-06,0.01718061947386427,0.017205812504531147,0.34386431978395415,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,operational,1,0,cross,160.0,0.01564671401648132,4.319414207456042e-06,0.015638247964634706,0.01565518006832793,0.31293428032962634,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,operational,1,0,cross,200.0,0.014539483789818512,3.519897163049713e-06,0.014532584791378934,0.014546382788258089,0.2907896757963702,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,calendar,1,0,cross,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2,0.05,1.8.1
S8-IMPACT-01,calendar,1,0,cross,0.5,0.0,0.0,0.0,0.0,0.0,0.0,8,2,0.05,1.8.1
S8-IMPACT-01,calendar,1,0,cross,1.0,0.00011451943246786457,0.00011451943246786457,-0.00010993865516914999,0.00033897752010487916,0.0022903886493572914,0.125,8,2,0.05,1.8.1
S8-IMPACT-01,calendar,1,0,cross,2.0,0.0006443423947384525,0.00031444260718096654,2.803488466375818e-05,0.001260649904813147,0.01288684789476905,0.375,8,2,0.05,1.8.1
S8-IMPACT-01,calendar,1,0,cross,5.0,0.0022919764654361573,0.000976798831190942,0.00037745075630191073,0.004206502174570404,0.04583952930872314,0.5,8,2,0.05,1.8.1
S8-IMPACT-01,calendar,1,0,cross,10.0,0.005614239935968484,0.0012256611382682064,0.0032119441049627997,0.008016535766974168,0.11228479871936968,0.875,8,2,0.05,1.8.1
S8-IMPACT-01,calendar,1,0,cross,20.0,0.011111819904529713,0.001487752669373091,0.008195824672558454,0.014027815136500973,0.22223639809059426,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,calendar,1,0,cross,40.0,0.018087429849082286,0.00032734585348939346,0.017445831976243074,0.018729027721921497,0.3617485969816457,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,calendar,1,0,cross,80.0,0.019176364324548768,6.746349339463308e-05,0.01904413587749529,0.019308592771602247,0.38352728649097534,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,calendar,1,0,cross,120.0,0.017534685140146278,0.00010259053863036269,0.017333607684430766,0.01773576259586179,0.35069370280292556,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,calendar,1,0,cross,160.0,0.01613674925289125,0.00020952075843996766,0.01572608856634891,0.016547409939433586,0.32273498505782494,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,calendar,1,0,cross,200.0,0.014928430599179716,0.0001271027108214999,0.014679309285969576,0.015177551912389856,0.2985686119835943,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,operational,1,1,own,0.0,0.14707420531925816,0.0004783430302849489,0.14613665297989967,0.14801175765861666,2.941484106385163,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,operational,1,1,own,0.5,0.1285490865857595,0.0008625935693433827,0.12685840318984648,0.13023976998167253,2.57098173171519,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,operational,1,1,own,1.0,0.11985738459838252,0.0005726384191572507,0.11873501329683431,0.12097975589993074,2.39714769196765,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,operational,1,1,own,2.0,0.10710377340443258,0.00022953184524001664,0.10665389098776215,0.10755365582110302,2.1420754680886516,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,operational,1,1,own,5.0,0.08231275312785355,0.00011416982646506479,0.08208898026798202,0.08253652598772508,1.6462550625570709,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,operational,1,1,own,10.0,0.06134502325115345,5.7437710916612145e-05,0.06123244533775689,0.06145760116455001,1.226900465023069,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,operational,1,1,own,20.0,0.04143818584876378,1.6932103739611936e-05,0.04140499892543414,0.041471372772093416,0.8287637169752755,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,operational,1,1,own,40.0,0.02524525374330482,2.3114676050584575e-06,0.025240723266798906,0.025249784219810733,0.5049050748660964,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,operational,1,1,own,80.0,0.015882661968562875,1.7448729466474099e-06,0.015879242017587447,0.015886081919538303,0.3176532393712575,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,operational,1,1,own,120.0,0.013683408428467624,6.922023029046754e-07,0.01368205171195393,0.013684765144981317,0.27366816856935244,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,operational,1,1,own,160.0,0.013013581482788255,1.7194703636014203e-06,0.013010211320875596,0.013016951644700915,0.2602716296557651,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,operational,1,1,own,200.0,0.012713556283584636,2.1735954407224562e-06,0.01270929603652082,0.012717816530648452,0.2542711256716927,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,calendar,1,1,own,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2,0.05,1.8.1
S8-IMPACT-01,calendar,1,1,own,0.5,0.0,0.0,0.0,0.0,0.0,0.0,8,2,0.05,1.8.1
S8-IMPACT-01,calendar,1,1,own,1.0,0.015764252055287704,0.015764252055287704,-0.015133681973076196,0.04666218608365161,0.31528504110575406,0.125,8,2,0.05,1.8.1
S8-IMPACT-01,calendar,1,1,own,2.0,0.04458851682982086,0.021758011513094595,0.0019428142641554555,0.08723421939548626,0.8917703365964171,0.375,8,2,0.05,1.8.1
S8-IMPACT-01,calendar,1,1,own,5.0,0.04834862928805746,0.018642279108907492,0.011809762234598772,0.08488749634151614,0.9669725857611491,0.5,8,2,0.05,1.8.1
S8-IMPACT-01,calendar,1,1,own,10.0,0.07439969002731577,0.012321056331775042,0.05025041961703668,0.09854896043759484,1.4879938005463151,0.875,8,2,0.05,1.8.1
S8-IMPACT-01,calendar,1,1,own,20.0,0.061354707533255975,0.008868891445553551,0.04397168029997102,0.07873773476654093,1.2270941506651194,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,calendar,1,1,own,40.0,0.029101440112343255,0.0014880332859109056,0.02618489487195788,0.03201798535272863,0.582028802246865,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,calendar,1,1,own,80.0,0.01680716451593125,0.00039068036973583073,0.01604143099124902,0.017572898040613478,0.33614329031862494,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,calendar,1,1,own,120.0,0.013938187659355152,8.351366633174179e-05,0.013774500873344938,0.014101874445365365,0.278763753187103,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,calendar,1,1,own,160.0,0.013209589356041378,0.00010383892675030954,0.013006065059610772,0.013413113652471984,0.2641917871208275,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,calendar,1,1,own,200.0,0.012815329513423625,3.3458859930924724e-05,0.012749750147959012,0.012880908878888238,0.25630659026847247,1.0,8,2,0.05,1.8.1
