measurement_domain,object,index,x,y,reference_x,reference_y,sample_count,software_version
previous_refresh_calendar,qq,39,0.7534159518148675,0.0005628966740548725,0.7534159518148675,0.7534159518148675,16928,2.1.0
previous_refresh_calendar,qq,40,0.8203791459684611,0.0005628966740548725,0.8203791459684611,0.8203791459684611,16928,2.1.0
previous_refresh_calendar,qq,41,0.8912408008676285,0.08590450238719062,0.8912408008676285,0.8912408008676285,16928,2.1.0
previous_refresh_calendar,qq,42,0.9668880522656615,0.25293866880128196,0.9668880522656615,0.9668880522656615,16928,2.1.0
previous_refresh_calendar,qq,43,1.0485180294966427,0.4359269801829553,1.0485180294966427,1.0485180294966427,16928,2.1.0
previous_refresh_calendar,qq,44,1.137809589130439,0.610356583803479,1.137809589130439,1.137809589130439,16928,2.1.0
previous_refresh_calendar,qq,45,1.2372345991628273,0.8143218982941708,1.2372345991628273,1.2372345991628273,16928,2.1.0
previous_refresh_calendar,qq,46,1.3506736395811005,1.031589379886244,1.3506736395811005,1.3506736395811005,16928,2.1.0
previous_refresh_calendar,qq,47,1.4847879686497156,1.2979485055987152,1.4847879686497156,1.4847879686497156,16928,2.1.0
previous_refresh_calendar,qq,48,1.65266039030791,1.6615089536884464,1.65266039030791,1.65266039030791,16928,2.1.0
previous_refresh_calendar,qq,49,1.8867051099724241,2.2039563148563754,1.8867051099724241,1.8867051099724241,16928,2.1.0
previous_refresh_calendar,qq,50,2.3263478740408408,3.3325451041742107,2.3263478740408408,2.3263478740408408,16928,2.1.0
