meta_order_id,schedule_id,path_index,event_book,side,child_index,operational_step,operational_time_seconds,quantity,cumulative_quantity,filled_quantity,pre_event_mid_log_price,execution_log_price_proxy,affected_grid_indices,applied_density_mass,software_version
v182-fast-p03-b1-s+1,fast,3,0,1,3,331,165.5,0.05,0.2,0.05,0.20519601101911916,0.48559670594958504,"[103, 104, 105, 106]",0.05,1.8.2
v182-fast-p03-b2-s-1,fast,3,1,-1,0,301,150.5,0.05,0.05,0.05,-0.0016000668572889176,-0.2576930664802394,"[99, 98, 97, 96]",0.05,1.8.2
v182-fast-p03-b2-s-1,fast,3,1,-1,1,311,155.5,0.05,0.1,0.05,-0.09128079583985435,-0.3616303246138001,"[99, 98, 97, 96, 95]",0.05,1.8.2
v182-fast-p03-b2-s-1,fast,3,1,-1,2,321,160.5,0.05,0.15000000000000002,0.05,-0.14616818859095443,-0.4174301092490665,"[98, 97, 96, 95]",0.05,1.8.2
v182-fast-p03-b2-s-1,fast,3,1,-1,3,331,165.5,0.05,0.2,0.05,-0.19932265374973648,-0.48027642451502967,"[98, 97, 96, 95, 94]",0.05,1.8.2
v182-fast-p03-b2-s+1,fast,3,1,1,0,301,150.5,0.05,0.05,0.05,-0.0016000668572889176,0.25402119508393667,"[100, 101, 102, 103, 104]",0.05000000000000001,1.8.2
v182-fast-p03-b2-s+1,fast,3,1,1,1,311,155.5,0.05,0.1,0.05,0.07857450959884126,0.34529458804735363,"[101, 102, 103, 104, 105]",0.05,1.8.2
v182-fast-p03-b2-s+1,fast,3,1,1,2,321,160.5,0.05,0.15000000000000002,0.05,0.14834329273945981,0.4186152078235132,"[102, 103, 104, 105]",0.05000000000000001,1.8.2
v182-fast-p03-b2-s+1,fast,3,1,1,3,331,165.5,0.05,0.2,0.05,0.20310453964406197,0.48365890893315194,"[103, 104, 105, 106]",0.05,1.8.2
v182-slow-p03-b1-s-1,slow,3,0,-1,0,301,150.5,0.05,0.05,0.05,0.0019455735267252536,-0.25352421666472624,"[100, 99, 98, 97, 96]",0.05,1.8.2
